season,mating_id,cow_id,bull_id,holding_code,calvings,calves_reared,outcome
2008,M2008-001,276000891618446,276000810332266,GLT,1,0,FAILED
2008,M2008-002,276000811823366,276000813025007,PRG,0,0,NOT_IN_CALF
2008,M2008-003,276000812749664,276000892238051,BLK,0,0,NOT_IN_CALF
2008,M2008-004,276000813677724,276000813255954,MUN,0,0,NOT_IN_CALF
2008,M2008-005,276000814047526,276000813533673,VOG,0,0,NOT_IN_CALF
2008,M2008-006,276000812698735,276000813255954,ELZ,0,0,NOT_IN_CALF
2008,M2008-007,276000813155753,276000813369197,KAN,1,1,CALVED
2008,M2008-008,276000813256327,276000813255954,GLT,0,0,NOT_IN_CALF
2008,M2008-009,276000813284910,276000813838643,FRB,1,0,FAILED
2008,M2008-010,276000813481302,276000812496746,HRB,0,0,NOT_IN_CALF
2008,M2008-011,276000812750057,276000813677661,OBR,1,0,FAILED
2008,M2008-012,276000812939303,276000813533577,GLT,1,1,CALVED
2008,M2008-013,276000813255939,276000813007328,VOG,1,1,CALVED
2008,M2008-014,276000813466985,276000810332266,PRG,1,1,CALVED
2008,M2008-015,276000813766171,276000813838643,LNZ,1,0,FAILED
2008,M2008-016,276000812939258,276000813677661,DRW,0,0,NOT_IN_CALF
2008,M2008-017,276000892601081,276000813255954,MUN,1,1,CALVED
2008,M2008-018,276000813368967,276000812689145,WLD,1,1,CALVED
2008,M2008-019,276000812688840,276000813007328,AMH,1,1,CALVED
2008,M2008-020,276000812433080,276000810331698,KAN,0,0,NOT_IN_CALF
2008,M2008-021,276000813617959,276000812750039,PRG,0,0,NOT_IN_CALF
2008,M2008-022,276000812496867,276000813677661,SCH,0,0,NOT_IN_CALF
2008,M2008-023,276000813024705,276000812496917,ZRN,1,1,CALVED
2008,M2008-024,276000813155770,276000813270863,DRW,1,0,FAILED
2008,M2008-025,276000813264775,276000813533673,DRW,1,0,FAILED
2008,M2008-026,276000813798266,276000892238051,MUN,0,0,NOT_IN_CALF
2008,M2008-027,276000813590674,276000892494994,URB,0,0,NOT_IN_CALF
2008,M2008-028,276000813270939,276000813007328,WLD,1,1,CALVED
2008,M2008-029,276000810748278,276000813677661,TDN,1,1,CALVED
2008,M2008-030,276000802947937,276000813838643,FRB,0,0,NOT_IN_CALF
2008,M2008-031,276000892533334,276000811815586,BLK,1,1,CALVED
2008,M2008-032,276000811902918,276000892238051,DRW,0,0,NOT_IN_CALF
2008,M2008-033,276000811082009,276000812750039,HRB,1,0,FAILED
2008,M2008-068,276000814117016,276000812689145,ZRN,1,0,FAILED
2008,M2008-070,276000813155752,276000811815586,KAN,1,0,FAILED
2008,M2008-072,276000813369054,276000811815586,URB,1,0,FAILED
2008,M2008-074,276000891618439,276000813838584,URB,1,0,FAILED
2008,M2008-076,276000812433061,276000813838643,ELZ,1,0,FAILED
2008,M2008-078,276000812806015,276000812496917,KAN,1,0,FAILED
2008,M2008-080,276000812939303,276000892238051,GLT,1,0,FAILED
2008,M2008-082,276000812347135,276000810331698,URB,1,0,FAILED
2009,M2009-034,276000891618446,276000813025007,GLT,2,1,CALVED
2009,M2009-035,276000811823366,276000812496917,PRG,2,1,CALVED
2009,M2009-036,276000812749664,276000813369197,BLK,2,1,CALVED
2009,M2009-037,276000813677724,276000813025007,MUN,3,1,CALVED
2009,M2009-038,276000814047526,276000813838584,VOG,2,1,CALVED
2009,M2009-039,276000812698735,276000812496917,ELZ,2,1,CALVED
2009,M2009-040,276000813155753,276000813838584,KAN,2,1,CALVED
2009,M2009-041,276000813256327,276000813025007,GLT,3,1,CALVED
2009,M2009-042,276000813284910,276000813677661,FRB,3,1,CALVED
2009,M2009-043,276000813481302,276000813677661,HRB,3,1,CALVED
2009,M2009-044,276000812750057,276000812749583,OBR,3,1,CALVED
2009,M2009-045,276000812939303,276000813838643,GLT,0,0,NOT_IN_CALF
2009,M2009-046,276000813255939,276000813270863,VOG,0,0,NOT_IN_CALF
2009,M2009-047,276000813369075,276000813368975,URB,0,0,NOT_IN_CALF
2009,M2009-048,276000812939258,276000810331698,DRW,0,0,NOT_IN_CALF
2009,M2009-049,276000812140647,276000813270863,FRB,0,0,NOT_IN_CALF
2009,M2009-050,276000813609307,276000813270863,LNZ,1,0,FAILED
2009,M2009-051,276000814357243,276000810332266,ZRN,0,0,NOT_IN_CALF
2009,M2009-052,276000812433080,276000811815586,KAN,0,0,NOT_IN_CALF
2009,M2009-053,276000812081697,276000813533577,SCH,1,0,FAILED
2009,M2009-054,276000812922633,276000813838643,KAN,1,0,FAILED
2009,M2009-055,276000813212240,276000812749583,VOG,1,0,FAILED
2009,M2009-056,276000813024705,276000813270863,ZRN,1,1,CALVED
2009,M2009-057,276000810816182,276000892494994,HRB,1,1,CALVED
2009,M2009-058,276000812347220,276000813533577,AMH,1,1,CALVED
2009,M2009-059,276000813264775,276000813368975,DRW,1,0,FAILED
2009,M2009-060,276000892533335,276000813025007,HRB,1,1,CALVED
