unit_id,operational_area,report_id,report_file,status_file,report_words,status_words,report_sha256,status_sha256,official_report_url,official_status_url
U01,public_health_emergency,GAO-24-106108,units/U01_gao-24-106108_report.txt,units/U01_gao-24-106108_status.txt,13342,256,390f70417aa798005bcbcf5adeac459fab4178b84eadbb4d977a0f71a9627b76,1359e3d25084aecf091232bbdd9987399fa9d961b58f19e7a1a2a702ec4002f1,https://www.gao.gov/products/gao-24-106108,https://www.gao.gov/products/gao-25-108032
U02,public_health_emergency,GAO-23-105238,units/U02_gao-23-105238_report.txt,units/U02_gao-23-105238_status.txt,19658,368,bf24e3f48bd80e85603c99950b8accadd546f38835a89f4280a11373f2cfd455,37d895e4cfc93a83981d572cf8e669769615e01a3ba1c4297db3951bcb95c512,https://www.gao.gov/products/gao-23-105238,https://www.gao.gov/products/gao-25-108032
U03,public_health_emergency,GAO-23-106210,units/U03_gao-23-106210_report.txt,units/U03_gao-23-106210_status.txt,22779,264,1c48baf504e4138a683df61e6d120f204300beb2a3d943940844e7adf0fc4da3,c302d670d01e6b92245fecbe4fd1bce3e85e01eb0abd2e4782620e92ce1d6f5d,https://www.gao.gov/products/gao-23-106210,https://www.gao.gov/products/gao-25-108032
U04,public_health_emergency,GAO-20-372,units/U04_gao-20-372_report.txt,units/U04_gao-20-372_status.txt,28092,263,802b4e7b2b672e60a7b7c2aa787a4b0b209a036b8d8a8d0ca7db37921d8c7395,ab0ef9f88a8228fb002b2daa8ac2b2c943d9055fa1f16b858d6b78e81501adeb,https://www.gao.gov/products/gao-20-372,https://www.gao.gov/products/gao-25-108032
U05,fda_oversight,GAO-25-106775,units/U05_gao-25-106775_report.txt,units/U05_gao-25-106775_status.txt,22103,213,d8d6d21cce686d5631219511fde4c863ffea85bb63901941ecaa1e0eba9ae685,f5cf07dd66094224a1cf3c2c736759c919a1b344bd7687a2d4381946b0059880,https://www.gao.gov/products/gao-25-106775,https://www.gao.gov/products/gao-25-108032
U06,fda_oversight,GAO-20-594,units/U06_gao-20-594_report.txt,units/U06_gao-20-594_status.txt,15603,289,5bae3f37516eda685adabc264c3a00afb3e9074afa29e9a36357edc147e74d72,4adc375bbbca3229182e74d71e192b8ed256055c8adc2a050b09bb62d0ac9075,https://www.gao.gov/products/gao-20-594,https://www.gao.gov/products/gao-25-108032
U07,fda_oversight,GAO-17-143,units/U07_gao-17-143_report.txt,units/U07_gao-17-143_status.txt,20344,275,edf7dc7ec6239725de5c25f0ed713f90b32f5bdfd4d842a5849e34b78490f430,144f637e76a91c12f22ed0eb9bc25af7764632508f411101a8a6fbeb8bc6e836,https://www.gao.gov/products/gao-17-143,https://www.gao.gov/products/gao-25-108032
U08,fda_oversight,GAO-15-183,units/U08_gao-15-183_report.txt,units/U08_gao-15-183_status.txt,12812,406,4cf873f6f429f11f1315c5200d7e8edf15ba632e82485c5415b30cf33167029d,891d00dfdc0e18807bc3dcaaa4b591ed0c84900c98f8e7e292935c9b0714d261,https://www.gao.gov/products/gao-15-183,https://www.gao.gov/products/gao-25-108032
U09,improper_payments,GAO-23-106025,units/U09_gao-23-106025_report.txt,units/U09_gao-23-106025_status.txt,8457,393,552f94f5cc66b3bdbeeadf481fe09410704123d9a5ebf371a6d9e4c4c7f4ad4f,1cf6ce478725f7a292fa1f84abae59e3e6edb1efcd01a13ff4ac7344ca733f37,https://www.gao.gov/products/gao-23-106025,https://www.gao.gov/products/gao-25-108032
U10,improper_payments,GAO-19-277,units/U10_gao-19-277_report.txt,units/U10_gao-19-277_status.txt,13992,248,bf369bc77896395e7b068dc610e614221b5b0decbd18b09d852f29a353bb7191,c556b952437348b9e8575ef6066a75d32e6f8fe01de743cdf7aeb967d3e665c1,https://www.gao.gov/products/gao-19-277,https://www.gao.gov/products/gao-25-108032
U11,improper_payments,GAO-18-564,units/U11_gao-18-564_report.txt,units/U11_gao-18-564_status.txt,13238,223,0e4279873ccf4b0f208a388ea798e28922188288bb2f1631bb25ead9fae8f148,f0230aecb8c9e0dc0720c3403634f66efe6baef67eec8abc2efdc40f17a0ab7b,https://www.gao.gov/products/gao-18-564,https://www.gao.gov/products/gao-25-108032
U12,improper_payments,GAO-16-394,units/U12_gao-16-394_report.txt,units/U12_gao-16-394_status.txt,13666,157,fe69c66c4f0d525d894350e675981cf773c024fa08dedf8b9fad11f61929da08,b8726ebbc2fc5849175933c4561f699b2470117a6c50f3942454fd5d317b2e46,https://www.gao.gov/products/gao-16-394,https://www.gao.gov/products/gao-25-108032
