path,bytes,words,sha256
portfolio_arbitration_pairs.csv,2414,368,964af5968f121bc8b29895460dad1205f6492cc8d34de08d530c1083692980d9
portfolio_roster.json,12194,1356,d547b0d8c76cd4653f372fe57f6f4aca049a3e2ffaee545e0d7f5d318594ad4e
source_manifest.csv,7981,610,c8b3650022038b4361e3f014905625db33ed90749a9e4fa9c5d93cb91ceb028d
source_provenance.md,1657,248,be59c2b11ca014e1a008e4eaedfcebb4e80e49b43d2122bf813307bc47364769
status/gao-25-108032-full.txt,82600,11579,609141efd581292bd04fc754de1f21ea2a49b0d0228e14a60df32de697f52a6f
units/U01_gao-24-106108_report.txt,89325,13109,390f70417aa798005bcbcf5adeac459fab4178b84eadbb4d977a0f71a9627b76
units/U01_gao-24-106108_status.txt,1805,252,1359e3d25084aecf091232bbdd9987399fa9d961b58f19e7a1a2a702ec4002f1
units/U02_gao-23-105238_report.txt,132227,19250,bf24e3f48bd80e85603c99950b8accadd546f38835a89f4280a11373f2cfd455
units/U02_gao-23-105238_status.txt,2548,363,37d895e4cfc93a83981d572cf8e669769615e01a3ba1c4297db3951bcb95c512
units/U03_gao-23-106210_report.txt,150666,22447,1c48baf504e4138a683df61e6d120f204300beb2a3d943940844e7adf0fc4da3
units/U03_gao-23-106210_status.txt,1902,262,c302d670d01e6b92245fecbe4fd1bce3e85e01eb0abd2e4782620e92ce1d6f5d
units/U04_gao-20-372_report.txt,190047,27896,802b4e7b2b672e60a7b7c2aa787a4b0b209a036b8d8a8d0ca7db37921d8c7395
units/U04_gao-20-372_status.txt,1911,259,ab0ef9f88a8228fb002b2daa8ac2b2c943d9055fa1f16b858d6b78e81501adeb
units/U05_gao-25-106775_report.txt,150164,21835,d8d6d21cce686d5631219511fde4c863ffea85bb63901941ecaa1e0eba9ae685
units/U05_gao-25-106775_status.txt,1544,210,f5cf07dd66094224a1cf3c2c736759c919a1b344bd7687a2d4381946b0059880
units/U06_gao-20-594_report.txt,104683,15305,5bae3f37516eda685adabc264c3a00afb3e9074afa29e9a36357edc147e74d72
units/U06_gao-20-594_status.txt,1955,281,4adc375bbbca3229182e74d71e192b8ed256055c8adc2a050b09bb62d0ac9075
units/U07_gao-17-143_report.txt,133389,19992,edf7dc7ec6239725de5c25f0ed713f90b32f5bdfd4d842a5849e34b78490f430
units/U07_gao-17-143_status.txt,1911,270,144f637e76a91c12f22ed0eb9bc25af7764632508f411101a8a6fbeb8bc6e836
